Title,Retail DVD Price,NEW DVD PRICE,Retail DVD UPC,Blu-ray Price,NEW BLU RAY PRICE,Blu-ray UPC
Final Set,$24.95,29.95,850021115463,n/a,,n/a
Finding Gaston,$24.95,29.95,857692005451,n/a,,n/a
For a Woman,$24.95,29.95,616892188261,n/a,,n/a
Foreign Letters,$24.95,29.95,616892184461,n/a,,n/a
For My Father,$24.95,29.95,616892058366,n/a,,n/a
Found Memories,$24.95,29.95,616892184065,n/a,,n/a
Fraulein,$24.95,29.95,616892915027,n/a,,n/a
Frau Stern,$24.95,29.95,850003924991,n/a,,n/a
Freedom,$24.95,29.95,896137001566,n/a,,n/a
Free Men,$24.95,29.95,616892183860,n/a,,n/a
Garibaldi's Lovers,$24.95,29.95,616892187769,n/a,,n/a
Genèse (Genesis),$24.95,29.95,850003924397,n/a,,n/a
Gigante,$24.95,29.95,616892055068,n/a,,n/a
Glassland,$24.95,29.95,857692005598,n/a,,n/a
Glory,$24.95,29.95,859686006208,n/a,,n/a
God of the Piano,$24.95,29.95,850021115029,n/a,,n/a
God's Slave,$24.95,29.95,616892188766,n/a,,n/a
Goldie,$24.95,29.95,850003924564,n/a,,n/a
Grigris,$24.95,29.95,616892187561,n/a,,n/a
Gun Runners,$24.95,29.95,859686006444,n/a,,n/a
Habermann,$24.95,29.95,896137001160,n/a,,n/a
Hamlet,$24.95,29.95,859686006659,n/a,,n/a
Harmonia,$24.95,29.95,850003924359,n/a,,n/a
Harmonium,$24.95,29.95,859686006222,n/a,,n/a
Heidi,$24.95,29.95,859686006109,n/a,,n/a
Helena from the Wedding,$24.95,29.95,616892106968,n/a,,n/a
Hello Lonesome,$24.95,29.95,616892184362,n/a,,n/a
Hide and Seek,$24.95,29.95,616892187868,n/a,,n/a
Hitler's Children,$24.95,29.95,616892184867,n/a,,n/a
Hockney,$24.95,29.95,857692005666,n/a,,n/a
Holly Near: Singing for Our Lives,$24.95,29.95,850003924472,n/a,,n/a
Hollywood On Trial,$24.95,29.95,896137001078,n/a,,n/a
Home From Home: Chronicle of a Vision,$24.95,29.95,896137001276,n/a,,n/a
Honorable Men,$24.95,29.95,,n/a,,n/a
Hospitalite,$24.95,29.95,616892182566,n/a,,n/a
Hotel Salvation,$24.95,29.95,859686006536,n/a,,n/a
How I Ended This Summer,$24.95,29.95,616892094968,n/a,,n/a
Human Capital,$24.95,29.95,616892188865,n/a,,n/a
I Am Not A Witch,$24.95,29.95,859686006796,n/a,,n/a
I Am the Blues,$24.95,29.95,859686006345,n/a,,n/a
I Am Yours,$24.95,29.95,857692005079,n/a,,n/a
Iceman,$24.95,29.95,859686006840,n/a,,n/a
"If I Want to Whistle, I Whistle",$24.95,29.95,616892113669,n/a,,n/a
"If You Don't, I Will",$24.95,29.95,857692005161,n/a,,n/a
Illegal,$24.95,29.95,616892117063,n/a,,n/a
Ilo Ilo,$24.95,29.95,616892187462,n/a,,n/a
Imber's Left Hand,$24.95,29.95,857692005680,n/a,,n/a
In Between,$24.95,29.95,859686006574,n/a,,n/a
In Country,$24.95,29.95,616892297345,n/a,,n/a
In Love We Trust,$24.95,29.95,616892975922,n/a,,n/a
Inseparables,$24.95,29.95,859686006246,n/a,,n/a
In Syria,$24.95,29.95,859686006581,n/a,,n/a
In the Name of,$24.95,29.95,616892186960,n/a,,n/a
Jaffa,$24.95,29.95,616892087311,n/a,,n/a
Jasper Jones,$24.95,29.95,859686006598,n/a,,n/a
Joy Womack: The White Swan,$24.95,29.95,850021115524,n/a,,n/a
Karen Cries on the Bus,$24.95,29.95,616892159766,n/a,,n/a
Karl Marx City,$24.95,29.95,859686006406,n/a,,n/a
Key of Life,$24.95,29.95,616892186564,n/a,,n/a
Kill Daddy Goodnight,$24.95,29.95,896137001580,n/a,,n/a
King of Devil's Island,$24.95,29.95,616892166467,n/a,,n/a
Klitschko,$24.95,29.95,896137001153,n/a,,n/a
La Boyita,$24.95,29.95,859686006826,n/a,,n/a
La Familia,$24.95,29.95,859686006758,n/a,,n/a
Lake Tahoe,$24.95,29.95,616892998822,n/a,,n/a
Lapsis,$24.95,29.95,850021115203,n/a,,n/a
La Sirga,$24.95,29.95,616892185864,n/a,,n/a
Lila Lila,$24.95,29.95,896137001207,n/a,,n/a
Line 41,$24.95,29.95,859686006420,n/a,,n/a
Little England,$24.95,29.95,896137001283,n/a,,n/a
Little Sparrows,$24.95,29.95,616892143017,n/a,,n/a
Louis van Beethoven,$24.95,29.95,850021115050,n/a,,n/a
Lovecut,$24.95,29.95,850021115647,n/a,,n/a
Love Me,$24.95,29.95,857692005123,n/a,,n/a
Lucky,$24.95,29.95,616892185765,n/a,,n/a
Lucky Life,$24.95,29.95,850021115401,n/a,,n/a
Mafia Inc,$24.95,29.95,850021115135,n/a,,n/a
Mambo Man,$24.95,29.95,896137001627,n/a,,n/a
Marie's Story,$24.95,29.95,857692005192,n/a,,n/a
Maurizio Cattelan: Be Right Back,$24.95,29.95,859686006390,n/a,,n/a
Mayor,$24.95,29.95,850021115104,n/a,,n/a
Mellow Mud,$24.95,29.95,896137001559,n/a,,n/a
Memory House,$24.95,29.95,850021115326,n/a,,n/a
Men Go to Battle,$24.95,29.95,857692005703,n/a,,n/a
Millie Lies Low,$24.95,29.95,,n/a,,n/a
Mine,$24.95,29.95,616892061366,n/a,,n/a
Miracle,$24.95,29.95,850021115760,n/a,,n/a
Miss Conception,$24.95,29.95,896137001573,n/a,,n/a
Moka,$24.95,29.95,859686006321,n/a,,n/a
"Moon, 66 Questions",$24.95,29.95,850021115791,n/a,,n/a
Mouton,$24.95,29.95,845637002511,n/a,,n/a
Munyurangabo,$24.95,29.95,850021115418,n/a,,n/a
My Art,$24.95,29.95,859686006550,n/a,,n/a
My German Friend,$24.95,29.95,896137001436,n/a,,n/a
My King,$24.95,29.95,857692005987,n/a,,n/a
